,customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_segment,segment_result
43811,7e19f4a49cf2f5c0ea08901336e3d9da,492,2,328.38,1,1,5,115,Hibernating
43816,7e1e6a9276e75274a3d81cebaa6f0c55,374,2,81.63,2,1,3,213,Hibernating
43876,7e4c2e786b87284c8c98d5bdcdf063da,247,2,40.599999999999994,3,1,1,311,About to sleep
43883,7e513111ace41e153422909d22223677,559,2,84.11,1,1,3,113,Hibernating
43885,7e523686247f53e8128305d50fc95586,237,2,262.07,3,1,5,315,About to sleep
43960,7e88bddedab5603be5bb50ec9025080e,329,2,27.68,2,1,1,211,Hibernating
43970,7e902211ea98633032e5cc41b645f65c,415,2,321.58000000000004,1,1,5,115,Hibernating
44031,7ebff563042d025850e4dd2508267fa1,321,2,282.6,2,1,5,215,Hibernating
44068,7edaf2c4de16b035306651cc8840587a,438,11,317.8,1,5,5,155,Can't lose them
44088,7ee355befcd0785e65dd97657a04cd7e,277,3,291.70000000000005,3,1,5,315,About to sleep
44104,7ef2f20ace2fc981f95637413c5782f4,40,2,66.25999999999999,5,1,2,512,New customers
44142,7f10859af8483458fbe59d40da3d04f5,578,2,53.5,1,1,2,112,Hibernating
44158,7f1bc009fe19bd5da0750c9161fe70d2,54,2,107.23,5,1,3,513,New customers
44174,7f26acabc0de284841a6faaf0c1c0d6e,239,2,517.24,3,1,5,315,About to sleep
44193,7f386e66390fd2b7cd15ebe5c7c52cf7,44,2,172.18,5,1,4,514,New customers
44311,7f8c8b9c2ae27bf3300f670c3d478be8,306,3,92.97,2,1,3,213,Hibernating
44316,7f8feff355565582f36a0a3848231245,348,2,104.37,2,1,3,213,Hibernating
44452,7ff290e59c82983e21d8337602e2ff6c,430,3,180.79000000000002,1,1,5,115,Hibernating
44481,8001a46c331af9144942c30dc5b12141,265,2,59.14,3,1,2,312,About to sleep
44625,807ef2b1870358b473e99027f30f2064,487,2,59.96,1,1,2,112,Hibernating
44660,809aa5fbcb85cdb0111071083767c662,481,2,119.14,1,1,4,114,Hibernating
44691,80b2dd0afbb9c18f5cce702acc2947b9,162,2,78.32,4,1,3,413,Promising
44739,80d88401a15807dd28990dd932495bc6,285,2,141.32999999999998,3,1,4,314,About to sleep
44748,80dfe2f69a889e178b3b4d964db72f3d,553,3,36.099999999999994,1,1,1,111,Hibernating
44754,80e41f2c55ff25bd7a53ce33e5f799da,126,2,88.31,4,1,3,413,Promising
44757,80ea58aa49a62dcb9d6c29b6ff65e158,166,2,53.61,4,1,2,412,Promising
44769,80f70f0ca0bcd19bf71e848e51206d68,412,2,90.28,2,1,3,213,Hibernating
44790,8106875d8a76c94534a5cece49730acd,104,2,80.26,5,1,3,513,New customers
44850,8130aff1c0475cddc4945c24074dff66,542,7,60.99,1,4,2,142,At risk
44872,814b41afcb94cb533af057e10587da20,176,2,68.39,4,1,2,412,Promising
44928,8173c84f17bc3acedc7517205e23c489,455,2,144.66,1,1,4,114,Hibernating
44978,81959f2d6b540243ccac326d082d4af3,145,3,65.13,4,1,2,412,Promising
45015,81abafc6b0432b81518f8ea7ce955077,15,2,139.01,5,1,4,514,New customers
45078,81df85472a415076704347302d743ea3,195,2,101.36,4,1,3,413,Promising
45106,81f10b625ff76949f3d454776b55ce31,211,2,415.78,3,1,5,315,About to sleep
45241,8255e4eaf811ff690f6b153f4a127f0e,161,4,101.24000000000001,4,2,3,423,Potential loyalists
45247,825c03d459e494071103e0d699ea943d,265,2,69.54,3,1,2,312,About to sleep
45292,827a42e41fca052da4378e08dde4d5a9,171,2,94.09,4,1,3,413,Promising
45301,82808ea6794ed5643bd23f65508aed70,260,4,49.14,3,2,1,321,About to sleep
45328,829712ebcb9948606c4a1665539a8b4f,160,2,417.84,4,1,5,415,Promising
45329,8297545d11104871ff4516789a25d3f8,277,3,316.22,3,1,5,315,About to sleep
45343,82a238f8e3cd8ba8688cd74ada659cf1,216,2,21.77,3,1,1,311,About to sleep
45352,82a8363331889ef3b94f20ffc543284f,352,2,39.1,2,1,1,211,Hibernating
45383,82bfba21f1ccdbffe8c25920039f6d50,245,2,29.78,3,1,1,311,About to sleep
45442,82ede4a5f9432aca3513ee6ca3f162e1,159,2,65.22,4,1,2,412,Promising
45452,82f7c186aba09154512a00de43c9502b,164,2,102.59,4,1,3,413,Promising
45475,830f73ec04ebe308bbeeefd3b066bd77,126,3,353.27,4,1,5,415,Promising
45521,832b138e378d72a36ce0d4b96c12e828,77,2,114.0,5,1,3,513,New customers
45577,835856fd2134a5d6f63090a9d9845a98,39,2,242.77,5,1,5,515,New customers
45587,835f8192fdb741a6c0653eb73471852b,435,2,392.45,1,1,5,115,Hibernating
45630,837f6881094646f992554d6608720572,483,2,103.55,1,1,3,113,Hibernating
45650,838db17a7ea397c8bbb5d0b4d48b1ba6,34,2,208.03,5,1,5,515,New customers
45670,8395381b2c2766ebceb43c768072fbce,225,2,20.1,3,1,1,311,About to sleep
45675,8397274a8680c08c3208912c33d63809,292,2,97.87,3,1,3,313,About to sleep
45710,83b11ba2776ca7656542548b827906e5,347,2,63.97,2,1,2,212,Hibernating
45738,83c103071581c1e2b9b88c10c7c81ec9,237,2,55.09,3,1,2,312,About to sleep
45740,83c18022e9410bf06c04af875c73d934,42,2,42.44,5,1,1,511,New customers
45806,83eef3eeaf0a8eb1430f200f410b4319,240,2,142.29999999999998,3,1,4,314,About to sleep
45827,83fd700aa4507f07005fc6014a130b5e,217,3,22.84,3,1,1,311,About to sleep
45871,841588ec55d017bfc541493da447ce61,148,2,221.60999999999999,4,1,5,415,Promising
45884,841f5c3ca18bbcb7e757633e3d6fcbcd,508,2,206.87,1,1,5,115,Hibernating
45909,8430f7e352ca68176149c17ddcbdad1b,188,2,44.09,4,1,1,411,Promising
45922,843a1bf7449148a26bfcc7e20c644aeb,105,2,37.84,5,1,1,511,New customers
45923,843b211abe7b0264dd4a69eafc5bdf43,306,3,122.04,2,1,4,214,Hibernating
45937,844a7e5d2737f2f6667a5242486cbcb1,456,3,46.9,1,1,1,111,Hibernating
46015,848a418025af5ffbbadfdedd85081da7,135,2,75.22,4,1,2,412,Promising
46028,849d4f35271a07987c6af0c676c5ca31,274,2,100.34,3,1,3,313,About to sleep
46085,84cc013dd1790fdafb0fa598695cf3c3,492,3,43.52,1,1,1,111,Hibernating
46152,84f8d3841c9595ec254d45d1e103b056,349,2,75.08,2,1,2,212,Hibernating
46155,84fa5b5f1af3af75e2e44452c296e41d,385,2,146.01999999999998,2,1,4,214,Hibernating
46178,85118baea7f7e7f2d94d59128d2e70a8,105,2,47.22,5,1,1,511,New customers
46213,8531003935cdca531082191dd5f53eca,118,2,424.61,4,1,5,415,Promising
46224,8535e7d171732dcdb3de48ff99040f6c,208,2,56.85,3,1,2,312,About to sleep
46257,854f983619b24efc2aa702bd11f207c9,29,2,186.38,5,1,5,515,New customers
46260,8553fb012aaa382ff9b2eb9aae6d03fd,453,2,145.66,1,1,4,114,Hibernating
46271,855defd5536f14c713b89056b7bae001,520,2,75.62,1,1,2,112,Hibernating
46298,857270fbac444dc798a0a452cec924f8,109,6,111.85,5,4,3,543,Champions
46325,858992797280bee2dada134ca5669097,201,2,114.45,4,1,3,413,Promising
46350,85a0c55326b884ce95823cc6b47f448e,293,2,220.58999999999997,3,1,5,315,About to sleep
46351,85a0f9b7de741202663cd284bab26e93,2,3,98.33,5,1,3,513,New customers
46375,85b65af675e83a04f5d0c511dcdf8f62,303,3,102.87,2,1,3,213,Hibernating
46378,85b721db5eadffc2f1c2e40a3c1f6a53,403,2,70.61,2,1,2,212,Hibernating
46400,85c864d898f25bc2b56b33d13aeae880,443,2,323.08,1,1,5,115,Hibernating
46405,85cddd29cf48a333f6ae27c38b0142da,322,2,179.6,2,1,5,215,Hibernating
46429,85e0c3aa291ef2ca5f2b48d2aa1c9904,155,2,87.06,4,1,3,413,Promising
46451,85ed641fe825f188f1a67b317b5f540c,599,5,666.71,1,3,5,135,At risk
46476,86025340edc60ca36327c4169f070f8e,252,2,373.82,3,1,5,315,About to sleep
46513,861728f9a0d9bfa588e238e30a20e278,494,2,165.07999999999998,1,1,4,114,Hibernating
46514,861744f1359cbaff09e3bbe61ce0fc08,441,2,66.69,1,1,2,112,Hibernating
46516,8617bd8f66cd7f354e97c8f72af8c0a6,34,2,60.5,5,1,2,512,New customers
46588,864fd7d2112ae79ef1095208edb6372b,452,2,76.88,1,1,2,112,Hibernating
46593,865258f69d1c08aefff813050c4d7afc,233,2,441.62,3,1,5,315,About to sleep
46604,865759cd610a2badf3cdbf9f717a46d4,350,2,51.099999999999994,2,1,1,211,Hibernating
46617,86647fcacfe017b63403169c2369b7b9,346,2,46.69,2,1,1,211,Hibernating
46618,8667901bd6be984bb8c737a31bef4bbe,230,2,49.34,3,1,1,311,About to sleep
46703,86a86095c835b9ad8633982e96fd84bf,24,2,14.89,5,1,1,511,New customers
46714,86b054247fca7d67660e38d08900d129,60,2,19.29,5,1,1,511,New customers
46747,86cc80fef09f7f39df4b0dbce48e81cb,418,12,329.22,1,5,5,155,Can't lose them
46781,86ea4a79110e366249a61523e3db3d3c,48,2,97.69,5,1,3,513,New customers
46916,874b661d62c1e74aafa401942f9d94cb,281,2,163.4,3,1,4,314,About to sleep
46925,875046d70b322a1aedb1b9b0fb475af4,302,2,66.91,2,1,2,212,Hibernating
46931,87525a16ffbfa38b6d5339a840769201,426,3,73.42999999999999,1,1,2,112,Hibernating
47001,8787c72a20002592238d7b80721ab729,283,2,29.49,3,1,1,311,About to sleep
47060,87ba7b183e6455c57728e6b2520f85a3,411,2,63.099999999999994,2,1,2,212,Hibernating
47078,87cb1b0051ce302c8d1ec6ceea791786,122,2,84.42999999999999,4,1,3,413,Promising
47096,87d4558ba089b9de00cd95e95f1d3c1b,123,2,30.04,4,1,1,411,Promising
47173,88066642a5d1d72635324e65fade6905,567,3,76.74,1,1,2,112,Hibernating
47246,8846f3bf9edb9b9abd019336b3b8d3a7,263,2,36.48,3,1,1,311,About to sleep
47293,8860eda9f0c775c17cf854564eab3418,399,2,52.77,2,1,2,212,Hibernating
47302,8866a052aebe7f7cee97bace65b379b2,65,2,78.42,5,1,3,513,New customers
47307,886cfcb187d4931fc041ccd989df49fb,32,2,68.35,5,1,2,512,New customers
47327,88797eeedbc6f829464f79b5fb7dcd63,276,2,58.62,3,1,2,312,About to sleep
47346,8882d4731ff6a9c7c6d5680992e456f8,359,2,117.16,2,1,4,214,Hibernating
47366,889987ae94247fa153d244032f57ee5c,513,2,116.75,1,1,4,114,Hibernating
47404,88be8e039439308b5ec70c4994293485,235,3,259.09000000000003,3,1,5,315,About to sleep
47608,8953425603394e4a0095750e15614db4,45,4,54.94,5,2,2,522,Potential loyalists
47613,8955805943d3a763a7f487f068a7f753,245,2,209.21,3,1,5,315,About to sleep
47629,895edce5f11d005be5c28f6efe45d984,255,3,77.66000000000001,3,1,3,313,About to sleep
47772,89baab6924c357bb87101f06523bf1a1,546,4,101.13999999999999,1,2,3,123,Hibernating
47831,89ee3b08086332a554ae83c810ef0517,551,3,230.99,1,1,5,115,Hibernating
47847,89fc2ea4c9fe75920b11289d16083e2d,179,4,213.13,4,2,5,425,Potential loyalists
47883,8a14edb98e31117b2e0f10525840e410,29,3,45.31,5,1,1,511,New customers
47900,8a26e9d12e385095bc938849cad12a30,427,2,46.0,1,1,1,111,Hibernating
47941,8a41c7f9953f6de004c96265762ac7e0,132,2,30.18,4,1,1,411,Promising
47970,8a5761bfa4d9d8db8945e7afb9759397,273,2,114.77000000000001,3,1,4,314,About to sleep
48029,8a8476a80099f2b63c573d23679532ec,61,2,95.74,5,1,3,513,New customers
48073,8aa4d935310fc9211fa1e78dcf74babe,276,2,69.45,3,1,2,312,About to sleep
48113,8ac0a23bbeb76d7c5244660c19f9d552,148,2,162.85,4,1,4,414,Promising
48117,8ac1fe94e53325560257c8758c9a8f4a,474,2,57.0,1,1,2,112,Hibernating
48120,8ac44e9c15d396b8c3c7cbab0fff4536,159,2,96.02000000000001,4,1,3,413,Promising
48298,8b48944ea962a5e993b4d1a75f439ff1,399,2,58.2,2,1,2,212,Hibernating
48332,8b6f2427e98e7c98770f5edbf05e696d,291,2,315.11,3,1,5,315,About to sleep
48384,8b955f3eb1641b0b7b3d2a454da001b9,545,2,45.96,1,1,1,111,Hibernating
48402,8b9f34063c242242994cd8a08719f000,29,2,269.54,5,1,5,515,New customers
48437,8bb7adfbcfbc35d2577ced908736ddca,330,2,116.94,2,1,4,214,Hibernating
48470,8bcad790cb9a45f7cb07be9ed4765cd9,574,2,90.22999999999999,1,1,3,113,Hibernating
48508,8be6f49db3d785d76b3cdd1dd72dda37,467,2,35.0,1,1,1,111,Hibernating
48510,8be838a392ab1879b89cb279123ee2b2,433,2,109.78,1,1,3,113,Hibernating
48613,8c336ef3a545f8ba0b1e48140b1f8750,462,2,153.01,1,1,4,114,Hibernating
48627,8c3c67c044aa796bec8d59cdcd4c0395,131,2,110.0,4,1,3,413,Promising
48647,8c49836680a00b97d63059dc43458e50,215,4,69.33,3,2,2,322,About to sleep
48662,8c551766dbe7cb34777c4e221a6189ef,3,2,234.75,5,1,5,515,New customers
48669,8c5a52cc14b87a0f057812298d656956,391,2,48.589999999999996,2,1,1,211,Hibernating
48706,8c76a7242d91d55fc0d21204466c748b,126,2,161.67,4,1,4,414,Promising
48707,8c78a97fcd0fbb96167dee28dacd58bf,29,2,47.129999999999995,5,1,1,511,New customers
48770,8caeb53ff1ed9da844ec4e1f6bab7dd8,265,2,258.33,3,1,5,315,About to sleep
48790,8cba14bb8ebdaefa1aa8563ace8ecd69,42,3,154.15,5,1,4,514,New customers
48828,8cda5fa80381ad8d09441fc5b3d5ff46,470,2,54.69,1,1,2,112,Hibernating
48839,8ce18cd05ef1610b491f53cc8faf9b7b,460,2,34.13,1,1,1,111,Hibernating
48872,8cffb89ef0a6557a99d731f67d652359,62,2,103.25999999999999,5,1,3,513,New customers
48873,8d00bb042dfdfc4c8121bcd01fbc78bc,69,4,553.26,5,2,5,525,Potential loyalists
48995,8d611bfb0f842b0d7e3cd686f8f695cb,354,2,158.32,2,1,4,214,Hibernating
49094,8db09297f613aa7c953b997e92b750db,512,8,91.85,1,5,3,153,Can't lose them
49100,8db4bdf985764f1587a5a06107a28d1b,276,8,98.31,3,5,3,353,Loyal customers
49112,8dbd900d6aac6fead528237f425c51d6,348,2,148.06,2,1,4,214,Hibernating
49136,8dc9064ed50605925c539815b560c78e,72,2,315.16999999999996,5,1,5,515,New customers
49183,8de735c5b8fcb11696c84002643f902a,111,2,99.60000000000001,4,1,3,413,Promising
49195,8dee5b9d88493d6dd0a51b834867dc84,233,2,77.68,3,1,3,313,About to sleep
49217,8df7e106f99ae17a05a4594b8d77a3cd,530,2,104.12,1,1,3,113,Hibernating
49270,8e1897b5129168a9f7c4ea4d3cc5f4ea,54,2,139.93,5,1,4,514,New customers
49282,8e294610f95b78e8de960a10bea8d515,182,3,65.01,4,1,2,412,Promising
49328,8e4a0eaf18400c5715796fc724708d00,168,2,78.34,4,1,3,413,Promising
49334,8e54a1f4e992629b3c41f7905d6b46c3,29,2,53.239999999999995,5,1,2,512,New customers
49364,8e6507774d7c8987cc2b3a7cd0db2c9a,547,5,381.51,1,3,5,135,At risk
49389,8e791f9f55fe93044d73c6d79b1cce11,482,2,113.78999999999999,1,1,3,113,Hibernating
49417,8e89cab186c88be523095a199d89bcb2,50,2,246.98,5,1,5,515,New customers
49458,8eab8f9b3c744b76b65f7a2c0c8f2d6c,446,2,71.14,1,1,2,112,Hibernating
49482,8eba5d36d26af896fb5a068bdb7980ad,322,2,86.15,2,1,3,213,Hibernating
49512,8ec995e911f92a26221b61e7d7e98c77,92,2,51.69,5,1,1,511,New customers
49514,8ed14e450a6268ec13f325e7c2eafeed,207,3,215.14,3,1,5,315,About to sleep
49559,8eefdf97a251c0ddbe5c9947378f6832,323,2,142.10000000000002,2,1,4,214,Hibernating
49715,8f65470a3b714b3a99454dc4cf3610e8,210,2,154.32,3,1,4,314,About to sleep
49723,8f6b24a248a2780662e39a53745ce210,426,2,53.050000000000004,1,1,2,112,Hibernating
49725,8f6c75c93f78947bf1bfa93beadacf15,550,2,93.03999999999999,1,1,3,113,Hibernating
49773,8f8b86d98300c3e0c6e84c4fcc8a4581,142,2,38.47,4,1,1,411,Promising
49821,8fb0d3b9306bc2fade01ee327e0e3cb8,131,4,111.19999999999999,4,2,3,423,Potential loyalists
49864,8fc8ae50a5db16c2ef987e3ed64c3956,399,2,144.75,2,1,4,214,Hibernating
49912,8fe979441d9c7ea25e5bf77c7b1d06b6,398,2,68.8,2,1,2,212,Hibernating
49949,90006c9239e7ad344dfc506766bd4a9d,247,2,102.18,3,1,3,313,About to sleep
49982,901be22d7ec9526031a2dc156992c306,142,2,88.37,4,1,3,413,Promising
49996,9026f16b4a80f2efd9dbc7be05f61cfd,42,3,56.97,5,1,2,512,New customers
50001,902a5ba1843ce46c17022d8440b723ab,253,2,85.15,3,1,3,313,About to sleep
50007,902dbd012843fe49743fce302a7765fe,124,2,157.85,4,1,4,414,Promising
50045,904805ce22729b9b724813c35df3973c,466,3,419.03999999999996,1,1,5,115,Hibernating
50054,9051b4ea0d87599f7f23ab2efb8cd5d2,437,4,185.54999999999998,1,2,5,125,Hibernating
50068,9059a4de2206e2ebaf4f178ebbba19ca,365,2,64.59,2,1,2,212,Hibernating
50078,905e35fa8c58f52fd1443aa882e99587,376,2,34.39,2,1,1,211,Hibernating
50123,90846c8af61d95ef1e68494b650d0bd7,97,2,114.52,5,1,3,513,New customers
50173,90a9c48d9d8440f1583a142142b99b1f,98,3,77.29,5,1,2,512,New customers
50194,90b6fbc1cb0e2395e22491d0ed697c6c,79,2,147.78,5,1,4,514,New customers
50201,90bd3163f91abddea340d03ca4eaf140,22,7,223.54000000000002,5,4,5,545,Champions
50215,90c561d8222ed24ce3e23902f137a520,78,2,262.6,5,1,5,515,New customers
50261,90e1d32a97d5acd67dcbe7ad2faa555a,402,4,29.22,2,2,1,221,Hibernating
50312,911035bc0dcc0c5ee9580cbe3e59ed06,25,3,599.26,5,1,5,515,New customers
50317,9112f67cff437f03c7617e0b7a72846c,476,2,108.45,1,1,3,113,Hibernating
50332,911d90f1add50839cfbdb9eedc2177e4,527,2,125.78,1,1,4,114,Hibernating
50340,9120bcceccdef79e911df9957ab9c4bb,217,2,73.86,3,1,2,312,About to sleep
50344,9123589cf44b8f276882e8388173188a,106,2,29.95,5,1,1,511,New customers
50348,9126539aa02befb9271bed176c06c637,68,2,270.84000000000003,5,1,5,515,New customers
50517,919c35733c90c55e0b38c024f232a124,142,2,93.44,4,1,3,413,Promising
50527,91a40cc40254f748df9028c2cfce3e69,512,3,166.25,1,1,4,114,Hibernating
50553,91b81b40f58d76adb310d312bfe6dbde,54,2,133.56,5,1,4,514,New customers
50580,91cb042681811c00a96789bbee61ecc2,402,2,52.0,2,1,2,212,Hibernating
50595,91dabf9347495618b632ea7397fd4eb9,228,3,281.82,3,1,5,315,About to sleep
50598,91dd42c2ca86cf3cf31838dcc106e2ee,256,2,212.01999999999998,3,1,5,315,About to sleep
50616,91e90f07388bd1b260d8f1f17322073e,408,2,53.09,2,1,2,212,Hibernating
50622,91ec76836092bba85d11761078ed7bb5,82,2,350.19,5,1,5,515,New customers
50626,91ef77a365c213f04954c1527081b016,362,2,85.24000000000001,2,1,3,213,Hibernating
50635,91f3a48792b867c22d0e909f4087d966,77,2,99.84,5,1,3,513,New customers
50640,91f514d2637f3d11c0394fd89807f69e,343,6,87.64,2,4,3,243,At risk
50706,921df0e199c57f4fd686b8a141fb9b86,567,2,272.18,1,1,5,115,Hibernating
50757,924a7f5e3822e366a9ed25271bad99b5,213,2,136.61,3,1,4,314,About to sleep
50804,926d5dc6f6593960a86fbbaddad5ee8b,71,2,101.18,5,1,3,513,New customers
50884,92ad3fa7e8c36426785e53b628576c56,8,2,199.26,5,1,5,515,New customers
50930,92c79ee0697a68bcbd251dfc2c2fc779,106,2,202.79,5,1,5,515,New customers
50934,92c997e26fcb5d0c3d7677dd64830c29,480,2,222.96,1,1,5,115,Hibernating
50941,92cd3ec6e2d643d4ebd0e3d6238f69e2,445,26,62.68,1,5,2,152,Can't lose them
50998,92f70647283582ec50ca1bb5794f6c90,8,5,107.72,5,3,3,533,Potential loyalists
51000,92f8771418e7b8dff78750306809ecea,15,2,166.35,5,1,4,514,New customers
51071,932f6944e8d50003e3bebd6030cd1c60,263,2,35.769999999999996,3,1,1,311,About to sleep
51074,9332fab6aa1e64633f8da103639d51ef,106,2,116.9,5,1,4,514,New customers
51081,9337a18877ba0cf7c209c6081ff451ef,537,2,242.94,1,1,5,115,Hibernating
51088,93398976408677d44139e085d01c41a3,208,3,25.619999999999997,3,1,1,311,About to sleep
51091,933bc2021f00b2bc5ed3fee7c637f8dd,167,5,83.03,4,3,3,433,Potential loyalists
51112,934a673b8bb916473b761f064fc69295,205,2,184.11,4,1,5,415,Promising
51121,934e65df19ff6cab141d3ec2b1a14e2a,490,3,117.43,1,1,4,114,Hibernating
51130,935449dc5f857cffa4651a947e0a624a,29,2,68.35,5,1,2,512,New customers
51136,935993f47af1ed7d0715c26b686341c5,277,3,32.379999999999995,3,1,1,311,About to sleep
51163,9370fe4ed90a768d1529b5798df4c18e,274,2,62.44,3,1,2,312,About to sleep
51258,93b5abb190d46114e4ef01a59bfd85bb,98,2,213.25,5,1,5,515,New customers
51277,93c18d140f4e52abc28925e224e2c781,81,3,44.379999999999995,5,1,1,511,New customers
51280,93c2b53461f9504845db7db24d5e942d,285,2,359.54,3,1,5,315,About to sleep
51300,93d0371714cd516009e4971d0ce6d2d2,394,2,71.53999999999999,2,1,2,212,Hibernating
51515,9463b5b75f8762cb7253d4c117bd2194,107,2,28.13,5,1,1,511,New customers
51540,94785befb91102be9d1f15a5592bbae6,225,2,144.47,3,1,4,314,About to sleep
51637,94c83c89df9c4e9fd402f2b6a4316391,477,2,35.78,1,1,1,111,Hibernating
51646,94cebf039d51a5f2a69abc82dd162a00,435,4,71.14,1,2,2,122,Hibernating
51656,94d64c9b674e29504cf012056f182c9f,335,2,112.71,2,1,3,213,Hibernating
51664,94dad91b40a7449b2f3a4df8f1d4554e,84,2,40.24,5,1,1,511,New customers
51672,94df0e79385af6c3f631e35a19c9e0b0,51,2,21.39,5,1,1,511,New customers
51685,94e9ce89950560f017f6f411e9819093,178,2,165.29,4,1,4,414,Promising
51703,94f65a6b64e024c2149d2eba4386c577,229,2,290.72,3,1,5,315,About to sleep
51705,94f7f1cb719dd707fd437e918d282537,562,2,45.95,1,1,1,111,Hibernating
51718,950314649912e547fbad1fe46f7ca854,190,2,173.26999999999998,4,1,4,414,Promising
51726,950a60900e19a2d87d316224bfc9e60f,59,2,315.02,5,1,5,515,New customers
51728,950ae87062f753d4c60dddad6d549a17,169,2,177.68,4,1,5,415,Promising
51750,951cca7b29b84f6f11fa7856a19544ed,375,2,119.53,2,1,4,214,Hibernating
51759,952314d81832bec79f508e87223d4fc8,93,3,59.459999999999994,5,1,2,512,New customers
51781,953685e0b65f9e97278a0c2caea55e1c,133,2,150.52,4,1,4,414,Promising
51871,9573415dd691e34a2b92c9e39558ef22,27,2,93.62,5,1,3,513,New customers
51923,959292edcade77d6b60dc8f49f01cd71,522,2,38.510000000000005,1,1,1,111,Hibernating
51993,95bd4d151ed873edafbdd0046e091152,393,2,70.75,2,1,2,212,Hibernating
52132,962711498269fa29f1513109270d80d4,252,2,128.04,3,1,4,314,About to sleep
52140,9631152c3218e9f00bd87dee439ff6b0,99,2,31.11,5,1,1,511,New customers
52181,96526ca2d4b3defae648259436c371c0,418,2,42.5,1,1,1,111,Hibernating
52244,967f07926e114ea00b83b7eb86a81aa8,131,4,51.49,4,2,1,421,Potential loyalists
52313,96a5bdb1cc0ed145671d0fb83200b8a0,110,2,37.050000000000004,4,1,1,411,Promising
52365,96ce05a47b37faa11bd59938ee555a7d,224,2,37.09,3,1,1,311,About to sleep
52368,96cf7781083280794f5f93fbf2054128,457,2,101.25,1,1,3,113,Hibernating
52397,96d88088646eaffdd90541093435f9c1,281,2,65.09,3,1,2,312,About to sleep
52406,96dff9ba1a37c06cc85a869434539166,259,2,67.53,3,1,2,312,About to sleep
52410,96e3ec2c47f9d428e77fd73f5a6b8c2d,205,2,144.01,4,1,4,414,Promising
52522,972dceea95c4bf95c17d866c17dabc2c,14,2,34.2,5,1,1,511,New customers
52529,97324b134a7e75d33decb2a65d637343,582,2,63.56,1,1,2,112,Hibernating
52568,974a20a7137aa2bc93f1f67efcc6fea7,158,2,58.160000000000004,4,1,2,412,Promising
52627,978092e16f71e6b97416a1763155e4e1,222,2,266.49,3,1,5,315,About to sleep
52763,97ed0aeab356413bf2d96d48e779b0d1,271,2,39.089999999999996,3,1,1,311,About to sleep
52803,98058e1fcf55c882ba711cfb5083bff5,225,2,32.379999999999995,3,1,1,311,About to sleep
52837,981e2a35b8cc3442c7b18d008d58e20c,419,2,59.730000000000004,1,1,2,112,Hibernating
52846,982449bc71d36806342e0da485d6820a,415,2,127.02,1,1,4,114,Hibernating
52864,98320c18e7b0f0ad33ae1283f6482237,121,2,52.75,4,1,2,412,Promising
52948,987b15cf895b62d1fe337652f44f802f,132,2,66.94,4,1,2,412,Promising
52950,987d489e68b88750c3f60a22c29faa18,168,2,352.72,4,1,5,415,Promising
52963,9886b94f586c099a78095b85cbe86038,327,3,45.0,2,1,1,211,Hibernating
52984,9891050c95b9961411bdb5e545932176,380,2,237.94,2,1,5,215,Hibernating
53046,98b342e461bd12ba581cfc6aa6b5f120,259,2,74.5,3,1,2,312,About to sleep
53056,98b71ff28f7ea89054def4aba7f8225b,77,2,132.45999999999998,5,1,4,514,New customers
53072,98beedf49bf1d0116940ae4de3f514aa,489,2,203.81,1,1,5,115,Hibernating
53119,98e5352560be36e212fd37586d7f6409,293,2,319.11,3,1,5,315,About to sleep
53131,98ef3111c052c31ff3ae78c26c0cf04b,301,2,279.24,2,1,5,215,Hibernating
53169,99058b9f04cb6cb1eec9114bbf4767b6,188,2,35.769999999999996,4,1,1,411,Promising
53211,9923fd1dde6b0f2423bc9fb3e1573687,499,2,126.94999999999999,1,1,4,114,Hibernating
53220,992b5eacca3441bc2ad844f72a9cf4f1,383,2,112.71000000000001,2,1,3,213,Hibernating
53232,9937a5e470c80919fea6199a76d8bc8f,67,2,48.41,5,1,1,511,New customers
53263,994be0a2320e85a0c2416351bd93026a,152,2,57.6,4,1,2,412,Promising
53338,997fd5f191a3b515c36618df00c53edb,322,2,63.68,2,1,2,212,Hibernating
53345,9984bc05a4cd3660c382bcefcc3d6add,407,2,40.849999999999994,2,1,1,211,Hibernating
53351,99895a9b5ea7a5e7b2bd960ade35f89a,198,2,109.0,4,1,3,413,Promising
53407,99b1bdda5abf7eb97c5f35afbadb1550,81,2,340.07,5,1,5,515,New customers
53409,99b3b3709b00a7b817833b1be4ff0729,154,2,120.08,4,1,4,414,Promising
53434,99c36402bbcd2ba978d7b513f4c6f98e,151,2,245.54,4,1,5,415,Promising
53449,99cfa33517b4d40116b8f33c18ea24c7,235,2,193.18,3,1,5,315,About to sleep
53635,9a5933540f93a1f6293effde1e30f5b5,343,3,115.45,2,1,4,214,Hibernating
53645,9a65373be082bc7570233d8c60ff5dbe,308,3,187.69,2,1,5,215,Hibernating
53672,9a7326193749abbeb741641ddc15b222,416,2,353.58,1,1,5,115,Hibernating
53677,9a745c47c228743d4a7bbb9c94e943e9,62,2,175.17000000000002,5,1,4,514,New customers
53686,9a7a057f5e9560593d21cf17220b04b2,385,2,177.68,2,1,5,215,Hibernating
53703,9a8b64d850b1680dc488d691a04e1448,103,2,37.81,5,1,1,511,New customers
